size,price,date
W235,105000,2026-01-27
W240,105000,2026-01-27
W240,105000,2026-01-27
W240,105000,2026-01-27
W245,101000,2026-01-27
W240,101000,2026-01-27
W245,101000,2026-01-27
W250,123000,2026-01-27
W240,105000,2026-01-27
W240,105000,2026-01-27
W240,105000,2026-01-27
W240,105000,2026-01-27
W235,106000,2026-01-27
W235,106000,2026-01-27
W245,101000,2026-01-27
W230,120000,2026-01-27
W230,120000,2026-01-27
W245,101000,2026-01-27
W240,105000,2026-01-27
W235,95000,2026-01-27
W250,105000,2026-01-27
W235,105000,2026-01-27
W235,104000,2026-01-27
W230,111000,2026-01-27
W230,112000,2026-01-27
W240,104000,2026-01-27
W250,108000,2026-01-27
W240,104000,2026-01-27
W235,102000,2026-01-27
W250,108000,2026-01-27
W240,101000,2026-01-27
W230,111000,2026-01-27
W235,102000,2026-01-27
W225,124000,2026-01-27
W250,123000,2026-01-27
W240,104000,2026-01-27
W225,120000,2026-01-27
W240,101000,2026-01-27
W235,106000,2026-01-27
W235,106000,2026-01-27
W225,124000,2026-01-27
W240,101000,2026-01-27
W240,101000,2026-01-27
W245,101000,2026-01-27
W235,105000,2026-01-27
W240,104000,2026-01-27
W260,109000,2026-01-28
W245,103000,2026-01-28
W240,105000,2026-01-28
W245,96000,2026-01-28
W235,96000,2026-01-28
W245,103000,2026-01-28
W240,103000,2026-01-28
W225,121000,2026-01-28
W245,103000,2026-01-28
W235,109000,2026-01-28
W240,105000,2026-01-28
W240,105000,2026-01-28
W265,128000,2026-01-28
W240,103000,2026-01-28
W245,103000,2026-01-28
W240,106000,2026-01-28
W245,103000,2026-01-28
W225,125000,2026-01-28
W230,120000,2026-01-28
W245,100000,2026-01-28
W235,108000,2026-01-28
W245,101000,2026-01-28
W240,105000,2026-01-28
W235,100000,2026-01-28
W245,101000,2026-01-28
W250,108000,2026-01-28
W240,106000,2026-01-28
W250,108000,2026-01-28
W240,100000,2026-01-28
W245,100000,2026-01-28
W235,108000,2026-01-28
W225,121000,2026-01-28
W230,112000,2026-01-28
W240,105000,2026-01-28
W240,100000,2026-01-28
W225,121000,2026-01-28
W235,108000,2026-01-28
W235,109000,2026-01-28
W230,112000,2026-01-28
W230,113000,2026-01-28
W235,100000,2026-01-28
W225,125000,2026-01-28
W240,112000,2026-01-29
W240,109000,2026-01-29
W235,108000,2026-01-29
W240,108000,2026-01-29
W230,105000,2026-01-29
W230,110000,2026-01-29
W240,108000,2026-01-29
W245,99000,2026-01-29
W240,98000,2026-01-29
W240,102000,2026-01-29
W240,101000,2026-01-29
W245,99000,2026-01-29
W245,104000,2026-01-29
W245,104000,2026-01-29
W240,104000,2026-01-29
W220,123000,2026-01-29
W230,112000,2026-01-29
W235,108000,2026-01-29
W240,105000,2026-01-29
W245,104000,2026-01-29
W235,101000,2026-01-29
W225,125000,2026-01-29
W245,104000,2026-01-29
W245,104000,2026-01-29
W230,98000,2026-01-29
W245,104000,2026-01-29
W245,104000,2026-01-29
W255,101000,2026-01-29
W245,104000,2026-01-29
W240,100000,2026-01-29
W245,103000,2026-01-29
W245,104000,2026-01-29
W230,113000,2026-01-29
W220,144000,2026-01-29
W225,125000,2026-01-29
W235,109000,2026-01-29
W240,106000,2026-01-29
W240,106000,2026-01-29
W240,106000,2026-01-29
W240,107000,2026-01-29
W245,104000,2026-01-29
W220,144000,2026-01-29
W230,105000,2026-01-29
W220,123000,2026-01-29
W230,105000,2026-01-29
W250,101000,2026-01-29
W220,123000,2026-01-29
W225,103000,2026-01-29
W245,104000,2026-01-29
W240,107000,2026-01-29
W235,110000,2026-01-29
W230,98000,2026-01-29
W250,101000,2026-01-29
W230,99000,2026-01-29
W230,104000,2026-01-29
W235,110000,2026-01-30
W255,116000,2026-01-30
W235,110000,2026-01-30
W250,101000,2026-01-30
W230,107000,2026-01-30
W240,100000,2026-01-30
W235,99000,2026-01-30
W230,109000,2026-01-30
W225,121000,2026-01-30
W240,105000,2026-01-30
W245,99000,2026-01-30
W220,144000,2026-01-30
W245,100000,2026-01-30
W250,100000,2026-01-30
W245,100000,2026-01-30
W250,101000,2026-01-30
W230,119000,2026-01-30
W230,118000,2026-01-30
W260,125000,2026-01-30
W235,100000,2026-01-30
W255,112000,2026-01-30
W235,100000,2026-01-30
W235,100000,2026-01-30
W225,126000,2026-01-30
W230,112000,2026-01-30
W250,100000,2026-01-30
W235,98000,2026-01-30
W235,109000,2026-01-30
W230,99000,2026-01-30
W250,107000,2026-01-30
W235,109000,2026-01-30
W245,104000,2026-01-30
W235,100000,2026-01-30
W230,118000,2026-01-30
W235,100000,2026-01-30
W235,100000,2026-01-30
W270,139000,2026-01-30
W235,100000,2026-01-30
W240,113000,2026-01-30
W235,100000,2026-01-30
W235,99000,2026-01-31
W225,123000,2026-01-31
W225,123000,2026-01-31
W245,103000,2026-01-31
W240,100000,2026-01-31
W240,103000,2026-01-31
W250,105000,2026-01-31
W250,105000,2026-01-31
W235,108000,2026-01-31
W230,108000,2026-01-31
W240,110000,2026-01-31
W240,100000,2026-01-31
W265,128000,2026-01-31
W240,100000,2026-01-31
W240,101000,2026-01-31
W250,106000,2026-01-31
W230,108000,2026-01-31
W235,108000,2026-01-31
W250,106000,2026-01-31
W235,108000,2026-01-31
W240,110000,2026-01-31
W245,103000,2026-01-31
W230,105000,2026-01-31
W235,110000,2026-01-31
W250,106000,2026-01-31
W240,110000,2026-01-31
W250,105000,2026-01-31
W235,100000,2026-01-31
W230,99000,2026-01-31
W235,97000,2026-01-31
W235,97000,2026-01-31
W235,95000,2026-01-31
W230,110000,2026-01-31
W240,98000,2026-01-31
W235,94000,2026-01-31
W245,103000,2026-01-31
W230,113000,2026-01-31
W245,103000,2026-01-31
W230,119000,2026-01-31
W245,95000,2026-01-31
W245,98000,2026-01-31
W240,94000,2026-01-31
W240,97000,2026-01-31
W230,114000,2026-01-31
W245,103000,2026-02-01
W240,110000,2026-02-01
W240,111000,2026-02-01
W235,99000,2026-02-01
W235,109000,2026-02-01
W240,105000,2026-02-01
W235,99000,2026-02-01
W240,110000,2026-02-01
