size,price,date
270,120000,2026-02-12
250,124000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
250,123000,2026-02-12
260,118000,2026-02-12
270,120000,2026-02-12
285,109000,2026-02-12
270,120000,2026-02-12
275,119000,2026-02-12
270,119000,2026-02-12
250,123000,2026-02-12
270,120000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
285,112000,2026-02-12
270,120000,2026-02-12
260,111000,2026-02-12
285,112000,2026-02-12
270,114000,2026-02-12
260,118000,2026-02-12
270,120000,2026-02-12
265,120000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
265,120000,2026-02-12
275,119000,2026-02-12
265,120000,2026-02-12
250,124000,2026-02-12
255,122000,2026-02-12
260,118000,2026-02-12
265,120000,2026-02-12
275,119000,2026-02-12
280,120000,2026-02-12
285,113000,2026-02-12
290,113000,2026-02-12
295,135000,2026-02-12
265,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,111000,2026-02-12
250,124000,2026-02-12
280,107000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
275,119000,2026-02-12
265,114000,2026-02-12
265,116000,2026-02-12
270,120000,2026-02-12
245,136000,2026-02-12
265,120000,2026-02-12
260,118000,2026-02-12
260,117000,2026-02-13
265,118000,2026-02-13
300,106000,2026-02-13
270,120000,2026-02-13
250,125000,2026-02-13
280,119000,2026-02-13
280,120000,2026-02-13
260,118000,2026-02-13
260,118000,2026-02-13
265,119000,2026-02-13
260,111000,2026-02-13
245,137000,2026-02-13
265,119000,2026-02-13
260,117000,2026-02-13
275,119000,2026-02-13
295,129000,2026-02-13
270,119000,2026-02-13
275,112000,2026-02-13
265,118000,2026-02-13
260,117000,2026-02-13
270,120000,2026-02-13
285,111000,2026-02-13
270,120000,2026-02-13
270,120000,2026-02-13
260,117000,2026-02-13
270,121000,2026-02-13
270,120000,2026-02-13
260,109000,2026-02-13
270,113000,2026-02-13
275,113000,2026-02-13
270,115000,2026-02-13
265,113000,2026-02-13
260,110000,2026-02-13
260,117000,2026-02-13
265,118000,2026-02-13
265,111000,2026-02-13
270,120000,2026-02-13
285,111000,2026-02-13
255,124000,2026-02-13
285,113000,2026-02-13
275,119000,2026-02-13
265,119000,2026-02-13
285,109000,2026-02-13
260,115000,2026-02-13
280,119000,2026-02-13
265,117000,2026-02-13
280,119000,2026-02-13
270,120000,2026-02-13
275,114000,2026-02-13
260,115000,2026-02-13
270,119000,2026-02-13
275,114000,2026-02-13
280,111000,2026-02-13
300,111000,2026-02-13
275,118000,2026-02-13
260,112000,2026-02-13
260,117000,2026-02-13
265,118000,2026-02-13
270,120000,2026-02-13
270,120000,2026-02-13
250,124000,2026-02-13
270,120000,2026-02-13
265,119000,2026-02-13
270,120000,2026-02-13
260,116000,2026-02-13
285,111000,2026-02-13
245,136000,2026-02-13
260,116000,2026-02-13
260,115000,2026-02-13
270,120000,2026-02-13
280,119000,2026-02-13
270,120000,2026-02-13
260,115000,2026-02-13
280,118000,2026-02-13
275,119000,2026-02-13
260,116000,2026-02-13
270,119000,2026-02-13
270,119000,2026-02-13
280,111000,2026-02-13
270,117000,2026-02-13
265,121000,2026-02-13
250,127000,2026-02-13
275,115000,2026-02-13
260,119000,2026-02-13
260,115000,2026-02-13
280,120000,2026-02-13
290,112000,2026-02-13
270,121000,2026-02-13
270,121000,2026-02-13
270,121000,2026-02-13
260,113000,2026-02-13
270,121000,2026-02-13
270,121000,2026-02-13
275,119000,2026-02-13
255,124000,2026-02-13
270,121000,2026-02-13
270,120000,2026-02-13
275,119000,2026-02-13
265,121000,2026-02-13
275,119000,2026-02-13
270,121000,2026-02-13
265,120000,2026-02-13
270,120000,2026-02-13
260,118000,2026-02-13
270,121000,2026-02-13
270,120000,2026-02-13
260,113000,2026-02-13
265,121000,2026-02-13
250,125000,2026-02-13
275,115000,2026-02-13
250,125000,2026-02-13
270,121000,2026-02-13
260,118000,2026-02-13
260,118000,2026-02-13
260,118000,2026-02-13
260,118000,2026-02-13
270,121000,2026-02-13
270,121000,2026-02-13
265,121000,2026-02-13
260,118000,2026-02-13
270,118000,2026-02-13
265,111000,2026-02-13
270,120000,2026-02-13
270,119000,2026-02-13
270,121000,2026-02-13
260,119000,2026-02-13
260,119000,2026-02-13
270,121000,2026-02-13
280,116000,2026-02-13
270,121000,2026-02-13
275,119000,2026-02-13
240,132000,2026-02-13
265,120000,2026-02-13
260,115000,2026-02-13
280,119000,2026-02-13
270,121000,2026-02-13
260,119000,2026-02-13
270,121000,2026-02-13
260,119000,2026-02-13
275,119000,2026-02-13
265,120000,2026-02-13
285,111000,2026-02-13
265,120000,2026-02-13
270,121000,2026-02-13
260,119000,2026-02-13
250,126000,2026-02-13
255,124000,2026-02-13
265,120000,2026-02-13
280,119000,2026-02-13
255,125000,2026-02-13
300,111000,2026-02-13
260,119000,2026-02-13
270,121000,2026-02-13
275,119000,2026-02-13
270,120000,2026-02-13
270,120000,2026-02-13
255,125000,2026-02-13
270,121000,2026-02-13
280,113000,2026-02-13
270,120000,2026-02-13
250,126000,2026-02-13
260,119000,2026-02-13
270,121000,2026-02-13
270,120000,2026-02-13
265,121000,2026-02-13
290,112000,2026-02-13
270,121000,2026-02-13
240,132000,2026-02-13
270,121000,2026-02-13
270,121000,2026-02-13
260,119000,2026-02-13
260,119000,2026-02-13
270,121000,2026-02-13
265,121000,2026-02-13
270,120000,2026-02-13
260,114000,2026-02-13
270,121000,2026-02-13
300,111000,2026-02-13
270,121000,2026-02-13
260,120000,2026-02-13
275,115000,2026-02-13
270,121000,2026-02-13
270,120000,2026-02-13
